ds,Actuals,Forecast
2015-01-02,22.0,16.62645836567336
2015-01-05,21.95,15.507224559821426
2015-01-06,21.89,15.17580453066958
2015-01-07,21.84,14.800263182895605
2015-01-08,21.78,14.504156049107154
2015-01-09,21.73,13.914884805111823
2015-01-12,21.67,13.351429453661993
2015-01-13,21.61,13.241036066483105
2015-01-14,21.55,13.094081167979239
2015-01-15,21.49,13.027906350342931
2015-01-16,21.43,12.663928329347812
2015-01-19,21.37,12.695479978664642
2015-01-20,21.31,12.742048726817782
2015-01-21,21.26,12.726199760080744
2015-01-22,21.2,12.763574878072383
2015-01-23,21.14,12.474895303343459
2015-01-26,21.04,12.570987071567654
2015-01-27,20.94,12.592783089259663
2015-01-28,20.84,12.534901839464933
2015-01-29,20.73,12.517571376167306
2015-01-30,20.63,12.166613663831539
2015-02-02,20.53,12.085768084269326
2015-02-03,20.43,12.070557084039763
2015-02-04,20.33,11.995487313002837
2015-02-05,20.23,11.985423058486703
2015-02-06,20.13,11.670158319231302
2015-02-09,20.01,11.89396940512988
2015-02-10,19.9,12.050240801007549
2015-02-11,19.79,12.180960349933148
2015-02-12,19.68,12.408927226503472
2015-02-13,19.57,12.360777831893968
2015-02-16,19.47,13.513852138846996
2015-02-17,19.36,14.002704486590922
2015-02-18,19.25,14.465846948629807
2015-02-19,19.14,15.018480293908837
2015-02-20,19.03,15.279462903030433
2015-02-23,18.92,17.190389788599813
2015-02-24,18.82,17.851759424208478
2015-02-25,18.71,18.43716427791511
2015-02-26,18.6,19.056993615387455
2015-02-27,18.49,19.32637235618243
2015-03-02,18.39,20.890711027867482
2015-03-03,18.32,21.312873307871484
2015-03-04,18.25,21.60072154549827
2015-03-05,18.17,21.86871436808289
2015-03-06,18.1,21.73727334054795
2015-03-09,18.03,21.874232825271196
2015-03-10,17.96,21.772919688412472
2015-03-11,17.89,21.528626802104213
2015-03-12,17.82,21.265420901909568
2015-03-13,17.75,20.613372346585408
2015-03-16,17.68,19.34468480859029
2015-03-17,17.6,18.8550424913625
2015-03-18,17.53,18.27459963387992
2015-03-19,17.46,17.73311757670934
2015-03-20,17.39,16.86514728471769
2015-03-23,17.32,15.347665545318463
2015-03-24,17.25,14.909417068786137
2015-03-25,17.18,14.444728293544543
2015-03-26,17.11,14.07968818381966
2015-03-27,17.03,13.44396489276232
2015-03-30,17.0,12.893748772627989
2015-03-31,16.96,12.842594678086744
2015-04-01,16.93,12.78317337340543
2015-04-02,16.89,12.832631084267511
2015-04-07,16.86,13.50279292956068
2015-04-08,16.82,13.73748253098628
2015-04-09,16.79,14.03731426175373
2015-04-10,16.75,14.018665051607915
2015-04-13,16.71,14.920777534291094
2015-04-14,16.68,15.19174967525054
2015-04-15,16.64,15.363639627602584
2015-04-16,16.61,15.550691040975725
2015-04-17,16.57,15.372734111402893
2015-04-20,16.53,15.564552379799997
2015-04-21,16.5,15.540075905091141
2015-04-22,16.46,15.397648445630214
2015-04-23,16.43,15.25813514605936
2015-04-24,16.39,14.748003139508567
2015-04-27,16.36,13.973285216591014
2015-04-28,16.32,13.656052568192445
2015-04-29,16.29,13.244020403560292
2015-04-30,16.25,12.862174071421755
2015-05-01,16.22,12.140385822238668
2015-05-04,16.4,10.937474979063264
2015-05-05,16.58,10.550204599376427
2015-05-06,16.76,10.10453465434631
2015-05-07,16.94,9.724471859993109
2015-05-08,17.12,9.0383200338208
2015-05-11,17.09,8.122514846797152
2015-05-12,17.06,7.88155244020394
2015-05-13,17.03,7.602163394512674
2015-05-14,17.0,7.404979965881488
2015-05-15,16.97,6.914929841031308
2015-05-18,16.94,6.634481671338165
2015-05-19,16.91,6.611137798768418
2015-05-20,16.88,6.547972747838234
2015-05-21,16.85,6.563465812849767
2015-05-22,16.82,6.280703216301863
2015-05-25,16.79,6.576012512704404
2015-05-26,16.76,6.726083008735941
2015-05-27,16.73,6.8261575212943075
2015-05-28,16.7,6.994485392072804
2015-05-29,16.67,6.854089595168309
2015-06-01,16.64,7.51479641206117
2015-06-02,16.62,7.766806531958028
2015-06-03,16.59,7.9593102952522745
2015-06-04,16.56,8.210798200873025
2015-06-05,16.53,8.144504738474161
2015-06-08,16.5,8.974719356108327
2015-06-09,16.47,9.265974339460254
2015-06-10,16.44,9.489211892411486
2015-06-11,16.41,9.762994266462112
2015-06-12,16.38,9.71065663068244
2015-06-15,16.35,10.53462276100967
2015-06-16,16.32,10.808851594198082
2015-06-17,16.29,11.00843428873456
2015-06-18,16.26,11.252646071813794
2015-06-19,16.23,11.165684103924491
2015-06-22,16.2,11.866262302592958
2015-06-23,16.17,12.09711095498453
2015-06-24,16.14,12.254571268107414
2015-06-25,16.11,12.459443043079073
2015-06-26,16.08,12.337461736282528
2015-06-29,16.05,12.97362098475336
2015-06-30,16.02,13.200916956139288
2015-07-01,15.99,13.365551970892458
2015-07-02,15.96,13.589047220233695
2015-07-03,15.93,13.497582724646817
2015-07-06,16.01,14.29639394897207
2015-07-07,16.1,14.599843024316302
2015-07-08,16.18,14.849863922270291
2015-07-09,16.27,15.166444069501814
2015-07-10,16.35,15.173932341335364
2015-07-13,16.44,16.282834733443643
2015-07-14,16.52,16.68585672676393
2015-07-15,16.61,17.029220096176058
2015-07-16,16.69,17.430307658677
2015-07-17,16.78,17.51095816490993
2015-07-20,16.86,18.74904960471646
2015-07-21,16.95,19.1590438206423
2015-07-22,17.03,19.489251890391778
2015-07-23,17.12,19.856457669788554
2015-07-24,17.2,19.882385023471073
2015-07-27,17.29,20.83773652715388
2015-07-28,17.37,21.118668515433825
2015-07-29,17.46,21.305978902027334
2015-07-30,17.54,21.519257491434743
2015-07-31,17.63,21.383408264886757
2015-08-03,17.6,21.8423817743607
2015-08-04,17.58,21.967075400599253
2015-08-05,17.55,22.009363908307794
2015-08-06,17.52,22.0927109696795
2015-08-07,17.5,21.845712492863548
2015-08-10,17.47,22.116391941648956
2015-08-11,17.45,22.235518102972456
2015-08-12,17.42,22.304018212843452
2015-08-13,17.4,22.446423597358972
2015-08-14,17.37,22.2917888863246
2015-08-17,17.35,23.03455982783588
2015-08-18,17.32,23.37132504116442
2015-08-19,17.3,23.683754321459425
2015-08-20,17.27,24.093255744969028
2015-08-21,17.25,24.225288122577346
2015-08-24,17.22,25.90379679364525
2015-08-25,17.2,26.562421701556435
2015-08-26,17.17,27.193606512683544
2015-08-27,17.15,27.913823400981336
2015-08-28,17.12,28.343646500988125
2015-08-31,17.1,30.791452716891726
2015-09-01,17.04,31.65088515821722
2015-09-02,16.99,32.44875594449771
2015-09-03,16.93,33.298346857072474
2015-09-04,16.88,33.817490045281986
2015-09-07,16.82,36.27271489846383
2015-09-08,16.77,37.04351666575456
2015-09-09,16.71,37.70632413115965
2015-09-10,16.66,38.37462380434009
2015-09-11,16.6,38.666920566681405
2015-09-14,16.55,40.18156443668141
2015-09-15,16.49,40.55859683986485
2015-09-16,16.44,40.791639633404884
2015-09-17,16.38,40.99713835982541
2015-09-18,16.33,40.79683890256409
2015-09-21,16.27,40.690977193462686
2015-09-22,16.22,40.49331460153397
2015-09-23,16.16,40.14134559338137
2015-09-24,16.11,39.75588464271314
2015-09-25,16.05,38.963145122943004
2015-09-28,16.0,37.11667305370671
2015-09-29,15.94,36.366344578302844
2015-09-30,15.89,35.48306930805441
2015-10-01,15.96,34.59210603651992
2015-10-02,16.03,33.323983847086794
2015-10-05,16.1,30.272378534947
2015-10-06,16.16,29.206155477453695
2015-10-07,16.23,28.05514726446684
2015-10-08,16.3,26.94716591921765
2015-10-09,16.37,25.51482400645073
2015-10-12,16.43,22.300167369625463
2015-10-13,16.5,21.2907832447977
2015-10-14,16.57,20.251282707681455
2015-10-15,16.64,19.30792796683302
2015-10-16,16.7,18.091109023371345
2015-10-19,16.77,15.796337660986723
2015-10-20,16.84,15.170924170613462
2015-10-21,16.91,14.545807566107777
2015-10-22,16.98,14.04160246205315
2015-10-23,17.04,13.282700273009802
2015-10-26,17.11,12.411054549469686
2015-10-27,17.18,12.255065078385712
2015-10-28,17.25,12.08642216584076
2015-10-29,17.32,12.019837626291684
2015-10-30,17.39,11.674215093991823
2015-11-02,17.33,11.849923672608675
